username,date,comment,Sentiment Score,Sentiment
@EM-nw4mr,2024-11-09T21:58:32Z,Sounds like he is talking to 6 yo. Disappointing TED,-0.1779,Negative
@sinekonata,2024-11-09T20:07:44Z,"So for those who don't want to spend 15' on some white guy in denial about the multi-polar world that's coming his answer is the ""techno-polar world"" where I guess racism is a thing of the past and all companies rule in a free market world lol.",0.1969,Positive
@emreihsanermis548,2024-11-09T19:53:11Z,The way he speaks is unbearable. This style of speech gotten really old.,0.0,Neutral
@smanoj262,2024-11-08T18:27:56Z,US had too GOOD for too long on somebody’s cost .It is right time for tectonic shift in world order .,0.5622,Positive
@Compatible-n7h,2024-11-06T19:58:04Z,1 year later and history is showing he is completely wrong.,-0.5256,Negative
@AbAb-nx2zy,2024-11-05T15:39:56Z,I wish Lion and Tiger to regain leadership of the world cities. This planet belongs to those kings.,0.4019,Positive
@dr.sayantanpaick8263,2024-11-05T13:52:49Z,🙏,0.0,Neutral
@IFKY,2024-11-05T01:13:46Z,"The last question he should have asked was, ""What are we going to do about it if their answer is the former?"" (since it obviously is--they've already shown they're content to leave it as is and make that sweet sweet money, because that's what our society does).",0.7003,Positive
@ShimekaClinton,2024-11-04T15:58:29Z,Please double check out now,0.3182,Positive
@ShimekaClinton,2024-11-04T15:58:19Z,No clousre 👁️👁️🧿🧿👱🧑‍🦳🌎🌏🌍🌎🌍🇧🇿🤓👖🌆📱🐆🪪📱 144A+*(m) and yes from born 144A+(WN) wanted normal women unit the age of 41yrs,0.128,Positive
@ShimekaClinton,2024-11-04T15:56:25Z,The establishment club 7 8 9 10,0.0,Neutral
@ShimekaClinton,2024-11-04T15:56:14Z,Climate world order 🌏🌎🌎🌍🌏,0.0,Neutral
@ShimekaClinton,2024-11-04T15:56:02Z,Climate world order people 🌎🌏🌍🌎🌏,0.0,Neutral
@ShimekaClinton,2024-11-04T15:53:25Z,I'm back,0.0,Neutral
@ShimekaClinton,2024-11-04T15:53:15Z,The real shimeka soina Clinton aka Smart 🤓 pants 👖 aka mama X leopard 🐆,0.4019,Positive
@KarinaBassan,2024-11-04T15:43:18Z,In Brazil january 8th was not an inssurrection. They was trying a coup d'Etat.,0.0,Neutral
@daisydrapeza5478,2024-11-04T08:37:58Z,ISRAEL!!!!!,0.0,Neutral
